University Name,No,Country,Group
Albert-Ludwigs-Universitaet Freiburg,201,Germany,European
University College Dublin,201,Ireland,European
University of Florida,97,United States,North American
Al-Farabi Kazakh National University,201,Kazakhstan,Asia/Oceania
University of Lausanne,101,Switzerland,European
Eberhard Karls University of Tubingen,201,Germany,European
Indian Institute of Technology Bombay,201,India,Asia/Oceania
Erasmus University Rotterdam,101,The Netherlands,European
National Tsing Hua University,201,"Taiwan, China",Asia/Oceania
Technische Universitat Wien,201,Austria,European
University of Gothenburg,101,Sweden,European
Khalifa University,201,The United Arab Emirates,Asia/Oceania
Universidad de Chile,201,Chile,European
Indian Institute of Technology Delhi,201,India,Asia/Oceania
Indian Institute of Science,201,India,Asia/Oceania
"University of Minnesota, Twin Cities",40,United States,North American
Universite Catholique de Louvain,201,Belgium,European
University of Liverpool,101,British,European
University of Twente,201,The Netherlands,European
Dartmouth College,201,United States,North American
Universiti Teknologi Malaysia,201,Malaysia,Asia/Oceania
University of Wollongong,201,Australia,Asia/Oceania
Curtin University,201,Australia,Asia/Oceania
Dresden University of Technology,201,Germany,European
University of Otago,201,New Zealand,Asia/Oceania
"University of Newcastle, Australia",201,Australia,Asia/Oceania
Hebrew University of Jerusalem,90,Israel,Asia/Oceania
University of Bergen,201,Norway,European
Macquarie University,201,Australia,Asia/Oceania
"University of California, San Francisco",20,United States,North American
Karolinska Institute,42,Sweden,European
Rockefeller University,42,United States,North American
"University of Colorado, Boulder",46,United States,North American
"University of Texas Southwestern Medical Center, Dallas",48,United States,North American
Heidelberg University,57,Germany,European
Vanderbilt University,65,United States,North American
University of Texas M. D. Anderson Cancer Center,67,United States,North American
"University of California, Irvine",70,United States,North American
Universite de Paris,73,France,European
University of Bonn,84,Germany,European
Sun Yat-sen University,89,China,Asia/Oceania
Weizmann Institute of Science,92,Israel,Asia/Oceania
Technion-Israel Institute of Technology,94,Israel,Asia/Oceania
University of Aix-Marseille,101,France,European
Arizona State University,101,United States,North American
Huazhong University of Science and Technology,101,China,Asia/Oceania
"Icahn School of Medicine, Mount Sinai",101,United States,North American
"Indiana University, Bloomington",101,United States,North American
King Saud University,101,Saudi Arabia,Asia/Oceania
Mayo Clinic Alix School of Medicine,101,United States,North American
Norwegian University of Science and Technology,101,Norway,European
Radboud University Nijmegen,101,The Netherlands,European
"Rutgers, State University of New Jersey",101,United States,North American
Universite Grenoble Alpes,101,France,European
Universite libre de Bruxelles,101,Belgium,European
University of Arizona,101,United States,North American
University of Freiburg,101,Germany,European
University of Goettingen,101,Germany,European
University of Montreal,101,Canada,North American
University of Sao Paulo,101,Brazil,other
University of Strasbourg,101,France,European
University of Utah,101,United States,North American
Vrije Universiteit Amsterdam,101,The Netherlands,European
Xi'an Jiaotong University,101,China,Asia/Oceania
Baylor College of Medicine,151,United States,North American
Beijing Institute of Technology,151,China,Asia/Oceania
Catholic University of Louvain,151,Belgium,European
Central South University,151,China,Asia/Oceania
GoeUniversity Frankfurt,151,Germany,European
Harbin Institute of Technology,151,China,Asia/Oceania
Jilin University,151,China,Asia/Oceania
Northwestern Polytechnical University,151,China,Asia/Oceania
Shandong University,151,China,Asia/Oceania
Sichuan University,151,China,Asia/Oceania
Soochow University,151,China,Asia/Oceania
South China University of Technology,151,China,Asia/Oceania
Southeast University,151,China,Asia/Oceania
Tel Aviv University,151,Israel,Asia/Oceania
University of Calgary,151,Canada,North American
Tianjin University,151,China,Asia/Oceania
Tongji University,151,China,Asia/Oceania
Tufts University,151,United States,North American
University of Barcelona,151,Spain,European
"University of California, Santa Cruz",151,United States,North American
University of Cologne,151,Germany,European
University of Electronic Science and Technology of China,151,China,Asia/Oceania
University of Milan,151,Italy,European
University of Montpellier,151,France,European
University of Muenster,151,Germany,European
University of Padova,151,Italy,European
University of Pisa,151,Italy,European
University of Sussex,151,British,European
University of Tuebingen,151,Germany,European
University of Virginia,151,United States,North American
Wuhan University,151,China,Asia/Oceania
University of Washington Seattle,201,United States,North American
Sorbonne Universite,201,France,European
University of New South Wales Sydney,201,Australia,Asia/Oceania
Karolinska Institutet,201,Sweden,European
Sapienza University Rome,201,Italy,European
University of Padua,201,Italy,European
Universite de Montpellier,201,France,European
Rutgers State University New Brunswick,201,United States,North American
Universidade de Lisboa,201,Portugal,European
Suzhou University,201,China,Asia/Oceania
Autonomous University of Barcelona,201,Spain,European
University of Hamburg,201,Germany,European
University of Ottawa,201,Canada,North American
Beihang University,201,China,Asia/Oceania
Charite Medical University of Berlin,201,Germany,European
Dalian University of Technology,201,China,Asia/Oceania
University of Naples Federico II,201,Italy,European
University of Erlangen Nuremberg,201,Germany,European
Universidade do Porto,201,Portugal,European
Xiamen University,201,China,Asia/Oceania
"University of Alabama, Birmingham",201,United States,North American
Queen Mary University London,201,Britain,European
Maastricht University,201,Netherlands,European
Chongqing University,201,China,Asia/Oceania
University of Turin,201,Italy,European
Universite Toulouse III,201,France,European
North Carolina State University,201,United States,North American
Charles University Prague,201,Czech Republic,European
Hunan University,201,China,Asia/Oceania
University of Gottingen,201,Germany,European
University of Iowa,201,United States,North American
Universite de Bordeaux,201,France,European
UNSW Sydney,201,Australia,Asia/Oceania
"Purdue University, West Lafayette",201,United States,North American
Penn State,201,United States,North American
Georgetown University,201,United States,North American
University of Antwerp,201,Belgium,European
University of Mannheim,201,Germany,European
Ulm University,201,Germany,European
Pompeu Fabra University,201,Spain,European
University of Aberdeen,201,British,European
Southern University of Science and Technology,201,China,Asia/Oceania
University of Wurzburg,201,Germany,European
Bielefeld University,201,Germany,European
Northeastern University,201,United States,North American
University of Canberra,201,Australia,Asia/Oceania
Ulsan National Institute of Science and Technology,201,South Korea,Asia/Oceania
University of East Anglia,201,British,European
University of Cape Town,201,South Africa,other
University of Notre Dame,201,United States,North American
University of Leicester,201,British,European
Queensland University of Technology,201,Australia,Asia/Oceania
Medical University of Graz,201,Austria,European
University of Hohenheim,201,Germany,European
Scuola Normale Superiore di Pisa,201,Italy,European
Catholic University of Leuven,201,Belgium,European
"Ohio State University, Columbus",201,United States,North American
Boston Universiy,201,United States,North American
King Abdullah University of Science & Technology,201,Saudi Arabia,Asia/Oceania
London School of Hygiene & Tropical Medicine,201,British,European
"University of Massachusetts, Amherst",201,United States,North American
Oregon Health & Science University,201,United States,North American
University of Chinese Academy of Sciences,201,China,Asia/Oceania
University Catholique of Louvain,201,Belgium,European
"University of California, Riverside",201,United States,North American
University of Colorado Anschutz Medical Campus,201,United States,North American
University of Cincinnati,201,United States,North American
"Stony Brook University, SUNY",201,United States,North American
University of Lisbon,201,Portugal,European
University of Witwatersrand,201,South Africa,other
