University Name,No,Country,Group
King Abdulaziz University,109,Saudi Arabia,Asia/Oceania
Utrecht University,110,The Netherlands,European
Universite de Montreal,111,Canada,North American
Aalto University,112,Finland,European
Boston University,112,United States,North American
Leiden University,112,The Netherlands,European
University of Southern California,112,United States,North American
Purdue University,116,United States,North American
Queen Mary University of London,117,British,European
Nagoya University,118,Japan,Asia/Oceania
University of Bern,119,Switzerland,European
Ohio State University,120,United States,North American
Chalmers University of Technology,121,Sweden,European
Universidade de Sao Paulo,121,Brazil,European
Wageningen University & Research,123,The Netherlands,European
Uppsala University,124,Sweden,European
Eindhoven University of Technology,125,The Netherlands,European
University of Alberta,126,Canada,North American
Freie Universitaet Berlin,127,Germany,European
Humboldt University of Berlin,128,Germany,European
University of Groningen,128,The Netherlands,European
Ecole Normale Superieure de Lyon,130,France,European
Nanjing University,131,China,Asia/Oceania
Lancaster University,132,British,European
University of Technology Sydney,133,Australia,Asia/Oceania
Newcastle University,134,British,European
Pontificia Universidad Catolica de Chile,135,Chile,European
Karlsruhe Institute of Technology,136,Germany,European
Kyushu University,137,Japan,Asia/Oceania
University of Basel,138,Switzerland,European
"University of California, Davis",138,United States,North American
McMaster University,140,Canada,North American
Ghent University,141,Belgium,European
Politecnico di Milano,142,Italy,European
Universiti Putra Malaysia,143,Malaysia,Asia/Oceania
Universiti Kebangsaan Malaysia,144,Malaysia,Asia/Oceania
Hokkaido University,145,Japan,Asia/Oceania
"University of California, Santa Barbara",146,United States,North American
Universiti Sains Malaysia,147,Malaysia,Asia/Oceania
Stockholm University,148,Sweden,European
University of Exeter,149,British,European
University of Waterloo,149,Canada,North American
Cardiff University,151,British,European
University of Vienna,151,Austria,European
University of York,151,British,European
University of Rochester,154,United States,North American
Aarhus University,155,Denmark,European
Hanyang University,156,South Korea,Asia/Oceania
Michigan State University,157,United States,North American
"University of Maryland, College Park",158,United States,North American
Technical University of Berlin,159,Germany,European
Emory University,160,United States,North American
Case Western Reserve University,161,United States,North American
Monterrey Institute of Technology and Higher Education,161,Mexico,North American
King Fahd University of Petroleum & Minerals,163,Saudi Arabia,Asia/Oceania
University of Pittsburgh,163,United States,North American
RWTH Aachen University,165,Germany,European
University of Bologna,166,Italy,European
University of Bath,166,British,European
Texas A&M University,168,United States,North American
Universitat de Barcelona,168,Spain,European
Western University,170,Canada,North American
Sapienza University of Rome,171,Italy,European
Albert-Ludwigs-Universitaet Freiburg,172,Germany,European
University College Dublin,173,Ireland,European
University of Florida,173,United States,North American
Al-Farabi Kazakh National University,175,Kazakhstan,Asia/Oceania
University of Lausanne,176,Switzerland,European
Eberhard Karls University of Tubingen,177,Germany,European
Indian Institute of Technology Bombay,177,India,Asia/Oceania
Erasmus University Rotterdam,179,The Netherlands,European
National Tsing Hua University,180,"Taiwan, China",Asia/Oceania
Technische Universitat Wien,180,Austria,European
University of Gothenburg,180,Sweden,European
Khalifa University,183,The United Arab Emirates,Asia/Oceania
Universidad de Chile,183,Chile,European
Indian Institute of Technology Delhi,185,India,Asia/Oceania
Indian Institute of Science,186,India,Asia/Oceania
"University of Minnesota, Twin Cities",186,United States,North American
Universite Catholique de Louvain,188,Belgium,European
University of Liverpool,189,British,European
University of Twente,189,The Netherlands,European
Dartmouth College,191,United States,North American
Universiti Teknologi Malaysia,191,Malaysia,Asia/Oceania
University of Wollongong,193,Australia,Asia/Oceania
Curtin University,194,Australia,Asia/Oceania
Dresden University of Technology,194,Germany,European
University of Otago,194,New Zealand,Asia/Oceania
"University of Newcastle, Australia",197,Australia,Asia/Oceania
Hebrew University of Jerusalem,198,Israel,Asia/Oceania
University of Bergen,199,Norway,European
Macquarie University,200,Australia,Asia/Oceania
"University of California, San Francisco",201,United States,North American
Karolinska Institute,201,Sweden,European
Rockefeller University,201,United States,North American
"University of Colorado, Boulder",201,United States,North American
"University of Texas Southwestern Medical Center, Dallas",201,United States,North American
Heidelberg University,201,Germany,European
Vanderbilt University,201,United States,North American
University of Texas M. D. Anderson Cancer Center,201,United States,North American
"University of California, Irvine",201,United States,North American
Universite de Paris,201,France,European
University of Bonn,201,Germany,European
Sun Yat-sen University,201,China,Asia/Oceania
Weizmann Institute of Science,201,Israel,Asia/Oceania
Technion-Israel Institute of Technology,201,Israel,Asia/Oceania
University of Aix-Marseille,201,France,European
Arizona State University,201,United States,North American
Huazhong University of Science and Technology,201,China,Asia/Oceania
"Icahn School of Medicine, Mount Sinai",201,United States,North American
"Indiana University, Bloomington",201,United States,North American
King Saud University,201,Saudi Arabia,Asia/Oceania
Mayo Clinic Alix School of Medicine,201,United States,North American
Norwegian University of Science and Technology,201,Norway,European
Radboud University Nijmegen,201,The Netherlands,European
"Rutgers, State University of New Jersey",201,United States,North American
Universite Grenoble Alpes,201,France,European
Universite libre de Bruxelles,201,Belgium,European
University of Arizona,201,United States,North American
University of Freiburg,201,Germany,European
University of Goettingen,201,Germany,European
University of Montreal,201,Canada,North American
University of Sao Paulo,201,Brazil,other
University of Strasbourg,201,France,European
University of Utah,201,United States,North American
Vrije Universiteit Amsterdam,201,The Netherlands,European
Xi'an Jiaotong University,201,China,Asia/Oceania
Baylor College of Medicine,201,United States,North American
Beijing Institute of Technology,201,China,Asia/Oceania
Catholic University of Louvain,201,Belgium,European
Central South University,201,China,Asia/Oceania
GoeUniversity Frankfurt,201,Germany,European
Harbin Institute of Technology,201,China,Asia/Oceania
Jilin University,201,China,Asia/Oceania
Northwestern Polytechnical University,201,China,Asia/Oceania
Shandong University,201,China,Asia/Oceania
Sichuan University,201,China,Asia/Oceania
Soochow University,201,China,Asia/Oceania
South China University of Technology,201,China,Asia/Oceania
Southeast University,201,China,Asia/Oceania
Tel Aviv University,201,Israel,Asia/Oceania
University of Calgary,201,Canada,North American
Tianjin University,201,China,Asia/Oceania
Tongji University,201,China,Asia/Oceania
Tufts University,201,United States,North American
University of Barcelona,201,Spain,European
"University of California, Santa Cruz",201,United States,North American
University of Cologne,201,Germany,European
University of Electronic Science and Technology of China,201,China,Asia/Oceania
University of Milan,201,Italy,European
University of Montpellier,201,France,European
University of Muenster,201,Germany,European
University of Padova,201,Italy,European
University of Pisa,201,Italy,European
University of Sussex,201,British,European
University of Tuebingen,201,Germany,European
University of Virginia,201,United States,North American
Wuhan University,201,China,Asia/Oceania
University of Washington Seattle,201,United States,North American
Sorbonne Universite,201,France,European
University of New South Wales Sydney,201,Australia,Asia/Oceania
Karolinska Institutet,201,Sweden,European
Sapienza University Rome,201,Italy,European
University of Padua,201,Italy,European
Universite de Montpellier,201,France,European
Rutgers State University New Brunswick,201,United States,North American
Universidade de Lisboa,201,Portugal,European
Suzhou University,201,China,Asia/Oceania
Autonomous University of Barcelona,201,Spain,European
University of Hamburg,201,Germany,European
University of Ottawa,201,Canada,North American
Beihang University,201,China,Asia/Oceania
Charite Medical University of Berlin,201,Germany,European
Dalian University of Technology,201,China,Asia/Oceania
University of Naples Federico II,201,Italy,European
University of Erlangen Nuremberg,201,Germany,European
Universidade do Porto,201,Portugal,European
Xiamen University,201,China,Asia/Oceania
"University of Alabama, Birmingham",201,United States,North American
Queen Mary University London,201,Britain,European
Maastricht University,201,Netherlands,European
Chongqing University,201,China,Asia/Oceania
University of Turin,201,Italy,European
Universite Toulouse III,201,France,European
North Carolina State University,201,United States,North American
Charles University Prague,201,Czech Republic,European
Hunan University,201,China,Asia/Oceania
University of Gottingen,201,Germany,European
University of Iowa,201,United States,North American
Universite de Bordeaux,201,France,European
UNSW Sydney,201,Australia,Asia/Oceania
"Purdue University, West Lafayette",201,United States,North American
Penn State,201,United States,North American
Georgetown University,201,United States,North American
University of Antwerp,201,Belgium,European
University of Mannheim,201,Germany,European
Ulm University,201,Germany,European
Pompeu Fabra University,201,Spain,European
University of Aberdeen,201,British,European
Southern University of Science and Technology,201,China,Asia/Oceania
University of Wurzburg,201,Germany,European
Bielefeld University,201,Germany,European
Northeastern University,201,United States,North American
University of Canberra,201,Australia,Asia/Oceania
Ulsan National Institute of Science and Technology,201,South Korea,Asia/Oceania
University of East Anglia,201,British,European
University of Cape Town,201,South Africa,other
University of Notre Dame,201,United States,North American
University of Leicester,201,British,European
Queensland University of Technology,201,Australia,Asia/Oceania
Medical University of Graz,201,Austria,European
University of Hohenheim,201,Germany,European
Scuola Normale Superiore di Pisa,201,Italy,European
Catholic University of Leuven,201,Belgium,European
"Ohio State University, Columbus",201,United States,North American
Boston Universiy,201,United States,North American
King Abdullah University of Science & Technology,201,Saudi Arabia,Asia/Oceania
London School of Hygiene & Tropical Medicine,201,British,European
"University of Massachusetts, Amherst",201,United States,North American
Oregon Health & Science University,201,United States,North American
University of Chinese Academy of Sciences,201,China,Asia/Oceania
University Catholique of Louvain,201,Belgium,European
"University of California, Riverside",201,United States,North American
University of Colorado Anschutz Medical Campus,201,United States,North American
University of Cincinnati,201,United States,North American
"Stony Brook University, SUNY",201,United States,North American
University of Lisbon,201,Portugal,European
University of Witwatersrand,201,South Africa,other
